name,type,start_time,duration,"tick_us","kind","index","value","reason"
"SentAnalyzer","nibble",4.18104,0.000046,,"D",0x0000000000000002,"4",
"SentAnalyzer","nibble",4.181086,0.000048,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",4.181134,0.00005,,"D",0x0000000000000004,"5",
"SentAnalyzer","nibble",4.181184,0.000052,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",4.181236,0.000042,,"CRC",0x0000000000000007,"2",
"SentAnalyzer","error",4.181278,0.000034,,,,,"ticks=11.0 out of range [12,27]"
"SentAnalyzer","sync",4.306398,0.000166,"2.964",,,,
"SentAnalyzer","nibble",4.306564,0.000038,,"ST",0x0000000000000000,"1",
"SentAnalyzer","nibble",4.306602,0.000038,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",4.30664,0.000042,,"D",0x0000000000000001,"2",
"SentAnalyzer","nibble",4.306682,0.000044,,"D",0x0000000000000002,"3",
"SentAnalyzer","nibble",4.306726,0.000048,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",4.306774,0.00005,,"D",0x0000000000000004,"5",
"SentAnalyzer","nibble",4.306824,0.000054,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",4.306878,0.00004,,"CRC",0x0000000000000007,"1",
"SentAnalyzer","error",4.306918,0.000034,,,,,"ticks=11.0 out of range [12,27]"
"SentAnalyzer","sync",4.444924,0.000168,"3.000",,,,
"SentAnalyzer","nibble",4.445092,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","nibble",4.445128,0.000038,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",4.445166,0.000042,,"D",0x0000000000000001,"2",
"SentAnalyzer","nibble",4.445208,0.000044,,"D",0x0000000000000002,"3",
"SentAnalyzer","nibble",4.445252,0.000048,,"D",0x0000000000000003,"4",
"SentAnalyzer","nibble",4.4453,0.00005,,"D",0x0000000000000004,"5",
"SentAnalyzer","nibble",4.44535,0.000054,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",4.445404,0.00004,,"CRC",0x0000000000000007,"1",
"SentAnalyzer","nibble",4.445444,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","sync",4.570268,0.000168,"3.000",,,,
"SentAnalyzer","nibble",4.570436,0.000036,,"ST",0x0000000000000000,"0",
"SentAnalyzer","nibble",4.570472,0.000038,,"D",0x0000000000000000,"1",
"SentAnalyzer","nibble",4.57051,0.000042,,"D",0x0000000000000001,"2",
"SentAnalyzer","nibble",4.570552,0.000046,,"D",0x0000000000000002,"3",
"SentAnalyzer","nibble",4.570598,0.000046,,"D",0x0000000000000003,"3",
"SentAnalyzer","nibble",4.570644,0.00005,,"D",0x0000000000000004,"5",
"SentAnalyzer","nibble",4.570694,0.000054,,"D",0x0000000000000005,"6",
"SentAnalyzer","nibble",4.570748,0.00004,,"CRC",0x0000000000000007,"1",
"SentAnalyzer","nibble",4.570788,0.000036,,"ST",0x0000000000000000,"0",
